"\\OSIRIS\i2b2\OSIRIS\","\\OSIRIS\i2b2\OSIRIS\"
"\\OSIRIS\i2b2\OSIRIS\Patient\","\\OSIRIS\i2b2\OSIRIS\Patient\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Gender\","\\OSIRIS\i2b2\OSIRIS\Patient\Gender\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Gender\Male\","\\OSIRIS\i2b2\OSIRIS\Patient\Gender\Male\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Gender\Female\","\\OSIRIS\i2b2\OSIRIS\Patient\Gender\Female\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Gender\Undifferentiated\","\\OSIRIS\i2b2\OSIRIS\Patient\Gender\Undifferentiated\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Gender\Unknown\","\\OSIRIS\i2b2\OSIRIS\Patient\Gender\Unknown\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\American Indian or Alaska Native\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\American Indian or Alaska Native\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\American Indian\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\American Indian\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Asian\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Asian\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Asian Indian\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Asian Indian\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Bangladeshi\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Bangladeshi\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Bhutanese\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Bhutanese\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Burmese\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Burmese\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Cambodian\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Cambodian\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Chinese\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Chinese\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Taiwanese\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Taiwanese\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Filipino\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Filipino\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Hmong\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Hmong\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Indonesian\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Indonesian\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Japanese\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Japanese\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Korean\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Korean\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Laotian\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Laotian\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Malaysian\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Malaysian\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Okinawan\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Okinawan\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Pakistani\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Pakistani\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Sri Lankan\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Sri Lankan\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Thai\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Thai\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Vietnamese\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Vietnamese\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Iwo Jiman\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Iwo Jiman\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Maldivian\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Maldivian\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Nepalese\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Nepalese\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Singaporean\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Singaporean\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Madagascar\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Madagascar\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Black or African American\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Black or African American\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Black\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Black\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\African American\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\African American\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\African\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\African\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Bahamian\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Bahamian\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Barbadian\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Barbadian\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Dominican\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Dominican\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Dominica Islander\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Dominica Islander\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Haitian\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Haitian\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Jamaican\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Jamaican\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Tobagoan\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Tobagoan\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Trinidadian\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Trinidadian\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\West Indian\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\West Indian\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Native Hawaiian or Other Pacific Islander\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Native Hawaiian or Other Pacific Islander\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Polynesian\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Polynesian\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Micronesian\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Micronesian\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Melanesian\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Melanesian\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Other Pacific Islander\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Other Pacific Islander\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\White\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\White\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\European\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\European\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Middle Eastern or North African\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Middle Eastern or North African\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Arab\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Arab\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Unknown\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Unknown\"
"\\OSIRIS\i2b2\OSIRIS\Patient\BirthDate\","\\OSIRIS\i2b2\OSIRIS\Patient\BirthDate\"
"\\OSIRIS\i2b2\OSIRIS\Patient\DeathDate\","\\OSIRIS\i2b2\OSIRIS\Patient\DeathDate\"
"\\OSIRIS\i2b2\OSIRIS\Patient\ProviderCenterId\","\\OSIRIS\i2b2\OSIRIS\Patient\ProviderCenterId\"
"\\OSIRIS\i2b2\OSIRIS\Patient\OriginCenterId\","\\OSIRIS\i2b2\OSIRIS\Patient\OriginCenterId\"
"\\OSIRIS\i2b2\OSIRIS\Patient\CauseOfDeath\","\\OSIRIS\i2b2\OSIRIS\Patient\CauseOfDeath\"
"\\OSIRIS\i2b2\OSIRIS\Patient\CauseOfDeath\Other cancer\","\\OSIRIS\i2b2\OSIRIS\Patient\CauseOfDeath\Other cancer\"
"\\OSIRIS\i2b2\OSIRIS\Patient\CauseOfDeath\Other cause\","\\OSIRIS\i2b2\OSIRIS\Patient\CauseOfDeath\Other cause\"
"\\OSIRIS\i2b2\OSIRIS\Patient\CauseOfDeath\Complications of treatment\","\\OSIRIS\i2b2\OSIRIS\Patient\CauseOfDeath\Complications of treatment\"
"\\OSIRIS\i2b2\OSIRIS\Patient\CauseOfDeath\Neoplasm\","\\OSIRIS\i2b2\OSIRIS\Patient\CauseOfDeath\Neoplasm\"
"\\OSIRIS\i2b2\OSIRIS\Patient\CauseOfDeath\Death of unknown cause\","\\OSIRIS\i2b2\OSIRIS\Patient\CauseOfDeath\Death of unknown cause\"
"\\OSIRIS\i2b2\OSIRIS\Patient\LastNewsDate\","\\OSIRIS\i2b2\OSIRIS\Patient\LastNewsDate\"
"\\OSIRIS\i2b2\OSIRIS\Patient\LastNewsStatus\","\\OSIRIS\i2b2\OSIRIS\Patient\LastNewsStatus\"
"\\OSIRIS\i2b2\OSIRIS\Patient\LastNewsStatus\Alive (finding)\","\\OSIRIS\i2b2\OSIRIS\Patient\LastNewsStatus\Alive (finding)\"
"\\OSIRIS\i2b2\OSIRIS\Patient\LastNewsStatus\Patient Outcome - Died\","\\OSIRIS\i2b2\OSIRIS\Patient\LastNewsStatus\Patient Outcome - Died\"
"\\OSIRIS\i2b2\OSIRIS\Patient\LastNewsStatus\Unknown\","\\OSIRIS\i2b2\OSIRIS\Patient\LastNewsStatus\Unknown\"
"\\OSIRIS\i2b2\OSIRIS\tumorPathologyEvent\","\\OSIRIS\i2b2\OSIRIS\tumorPathologyEvent\"
"\\OSIRIS\i2b2\OSIRIS\tumorPathologyEvent\Type\","\\OSIRIS\i2b2\OSIRIS\tumorPathologyEvent\Type\"
"\\OSIRIS\i2b2\OSIRIS\tumorPathologyEvent\Type\Neoplasm\","\\OSIRIS\i2b2\OSIRIS\tumorPathologyEvent\Type\Neoplasm\"
"\\OSIRIS\i2b2\OSIRIS\tumorPathologyEvent\Type\Metastatic Malignant Neoplasm (NCI:C36263)\","\\OSIRIS\i2b2\OSIRIS\tumorPathologyEvent\Type\Metastatic Malignant Neoplasm (NCI:C36263)\"
"\\OSIRIS\i2b2\OSIRIS\tumorPathologyEvent\Type\Recurrent tumor\","\\OSIRIS\i2b2\OSIRIS\tumorPathologyEvent\Type\Recurrent tumor\"
"\\OSIRIS\i2b2\OSIRIS\tumorPathologyEvent\Type\Primary tumor\","\\OSIRIS\i2b2\OSIRIS\tumorPathologyEvent\Type\Primary tumor\"
"\\OSIRIS\i2b2\OSIRIS\tumorPathologyEvent\Type\Unknown\","\\OSIRIS\i2b2\OSIRIS\tumorPathologyEvent\Type\Unknown\"
"\\OSIRIS\i2b2\OSIRIS\tumorPathologyEvent\StartDate\","\\OSIRIS\i2b2\OSIRIS\tumorPathologyEvent\StartDate\"
"\\OSIRIS\i2b2\OSIRIS\tumorPathologyEvent\EndDate\","\\OSIRIS\i2b2\OSIRIS\tumorPathologyEvent\EndDate\"
"\\OSIRIS\i2b2\OSIRIS\tumorPathologyEvent\PerformanceStatus\","\\OSIRIS\i2b2\OSIRIS\tumorPathologyEvent\PerformanceStatus\"
"\\OSIRIS\i2b2\OSIRIS\tumorPathologyEvent\PerformanceStatus\activité normale sans restriction\","\\OSIRIS\i2b2\OSIRIS\tumorPathologyEvent\PerformanceStatus\activité normale sans restriction\"
"\\OSIRIS\i2b2\OSIRIS\tumorPathologyEvent\PerformanceStatus\restreint pour des activités physiques importantes  mais patient ambulant et capable de fournir un travail léger\","\\OSIRIS\i2b2\OSIRIS\tumorPathologyEvent\PerformanceStatus\restreint pour des activités physiques importantes  mais patient ambulant et capable de fournir un travail léger\"
"\\OSIRIS\i2b2\OSIRIS\tumorPathologyEvent\PerformanceStatus\ambulant et capable de se prendre en charge  mais incapable de fournir un travail et alité pendant moins de 50 % de son temps\","\\OSIRIS\i2b2\OSIRIS\tumorPathologyEvent\PerformanceStatus\ambulant et capable de se prendre en charge  mais incapable de fournir un travail et alité pendant moins de 50 % de son temps\"
