"\\OSIRIS\i2b2\OSIRIS\","\\OSIRIS\i2b2\OSIRIS\"
"\\OSIRIS\i2b2\OSIRIS\Patient\","\\OSIRIS\i2b2\OSIRIS\Patient\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Gender\","\\OSIRIS\i2b2\OSIRIS\Patient\Gender\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Gender\Male\","\\OSIRIS\i2b2\OSIRIS\Patient\Gender\Male\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Gender\Female\","\\OSIRIS\i2b2\OSIRIS\Patient\Gender\Female\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Gender\Undifferentiated\","\\OSIRIS\i2b2\OSIRIS\Patient\Gender\Undifferentiated\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Gender\Unknown\","\\OSIRIS\i2b2\OSIRIS\Patient\Gender\Unknown\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\AmericanIndianorAlaskaNative\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\AmericanIndianorAlaskaNative\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\AmericanIndian\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\AmericanIndian\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Asian\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Asian\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\AsianIndian\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\AsianIndian\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Bangladeshi\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Bangladeshi\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Bhutanese\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Bhutanese\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Burmese\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Burmese\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Cambodian\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Cambodian\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Chinese\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Chinese\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Taiwanese\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Taiwanese\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Filipino\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Filipino\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Hmong\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Hmong\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Indonesian\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Indonesian\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Japanese\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Japanese\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Korean\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Korean\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Laotian\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Laotian\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Malaysian\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Malaysian\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Okinawan\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Okinawan\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Pakistani\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Pakistani\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\SriLankan\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\SriLankan\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Thai\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Thai\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Vietnamese\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Vietnamese\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\IwoJiman\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\IwoJiman\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Maldivian\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Maldivian\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Nepalese\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Nepalese\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Singaporean\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Singaporean\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Madagascar\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Madagascar\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\BlackorAfricanAmerican\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\BlackorAfricanAmerican\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Black\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Black\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\AfricanAmerican\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\AfricanAmerican\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\African\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\African\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Bahamian\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Bahamian\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Barbadian\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Barbadian\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Dominican\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Dominican\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\DominicaIslander\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\DominicaIslander\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Haitian\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Haitian\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Jamaican\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Jamaican\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Tobagoan\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Tobagoan\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Trinidadian\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Trinidadian\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\WestIndian\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\WestIndian\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\NativeHawaiianorOtherPacificIslander\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\NativeHawaiianorOtherPacificIslander\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Polynesian\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Polynesian\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Micronesian\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Micronesian\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Melanesian\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Melanesian\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\OtherPacificIslander\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\OtherPacificIslander\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\White\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\White\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\European\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\European\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\MiddleEasternorNorthAfrican\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\MiddleEasternorNorthAfrican\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Arab\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Arab\"
"\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Unknown\","\\OSIRIS\i2b2\OSIRIS\Patient\Ethnicity\Unknown\"
"\\OSIRIS\i2b2\OSIRIS\Patient\BirthDate\","\\OSIRIS\i2b2\OSIRIS\Patient\BirthDate\"
"\\OSIRIS\i2b2\OSIRIS\Patient\DeathDate\","\\OSIRIS\i2b2\OSIRIS\Patient\DeathDate\"
"\\OSIRIS\i2b2\OSIRIS\Patient\ProviderCenterId\","\\OSIRIS\i2b2\OSIRIS\Patient\ProviderCenterId\"
"\\OSIRIS\i2b2\OSIRIS\Patient\OriginCenterId\","\\OSIRIS\i2b2\OSIRIS\Patient\OriginCenterId\"
"\\OSIRIS\i2b2\OSIRIS\Patient\CauseOfDeath\","\\OSIRIS\i2b2\OSIRIS\Patient\CauseOfDeath\"
"\\OSIRIS\i2b2\OSIRIS\Patient\CauseOfDeath\Othercancer\","\\OSIRIS\i2b2\OSIRIS\Patient\CauseOfDeath\Othercancer\"
"\\OSIRIS\i2b2\OSIRIS\Patient\CauseOfDeath\Othercause\","\\OSIRIS\i2b2\OSIRIS\Patient\CauseOfDeath\Othercause\"
"\\OSIRIS\i2b2\OSIRIS\Patient\CauseOfDeath\Complicationsoftreatment\","\\OSIRIS\i2b2\OSIRIS\Patient\CauseOfDeath\Complicationsoftreatment\"
"\\OSIRIS\i2b2\OSIRIS\Patient\CauseOfDeath\Neoplasm\","\\OSIRIS\i2b2\OSIRIS\Patient\CauseOfDeath\Neoplasm\"
"\\OSIRIS\i2b2\OSIRIS\Patient\CauseOfDeath\Deathofunknowncause\","\\OSIRIS\i2b2\OSIRIS\Patient\CauseOfDeath\Deathofunknowncause\"
"\\OSIRIS\i2b2\OSIRIS\Patient\LastNewsDate\","\\OSIRIS\i2b2\OSIRIS\Patient\LastNewsDate\"
"\\OSIRIS\i2b2\OSIRIS\Patient\LastNewsStatus\","\\OSIRIS\i2b2\OSIRIS\Patient\LastNewsStatus\"
"\\OSIRIS\i2b2\OSIRIS\Patient\LastNewsStatus\Alivefinding\","\\OSIRIS\i2b2\OSIRIS\Patient\LastNewsStatus\Alivefinding\"
"\\OSIRIS\i2b2\OSIRIS\Patient\LastNewsStatus\PatientOutcome-Died\","\\OSIRIS\i2b2\OSIRIS\Patient\LastNewsStatus\PatientOutcome-Died\"
"\\OSIRIS\i2b2\OSIRIS\Patient\LastNewsStatus\Unknown\","\\OSIRIS\i2b2\OSIRIS\Patient\LastNewsStatus\Unknown\"
"\\OSIRIS\i2b2\OSIRIS\tumorPathologyEvent\","\\OSIRIS\i2b2\OSIRIS\tumorPathologyEvent\"
"\\OSIRIS\i2b2\OSIRIS\tumorPathologyEvent\Type\","\\OSIRIS\i2b2\OSIRIS\tumorPathologyEvent\Type\"
"\\OSIRIS\i2b2\OSIRIS\tumorPathologyEvent\Type\Neoplasm\","\\OSIRIS\i2b2\OSIRIS\tumorPathologyEvent\Type\Neoplasm\"
"\\OSIRIS\i2b2\OSIRIS\tumorPathologyEvent\Type\MetastaticMalignantNeoplasmNCI:C36263\","\\OSIRIS\i2b2\OSIRIS\tumorPathologyEvent\Type\MetastaticMalignantNeoplasmNCI:C36263\"
"\\OSIRIS\i2b2\OSIRIS\tumorPathologyEvent\Type\Recurrenttumor\","\\OSIRIS\i2b2\OSIRIS\tumorPathologyEvent\Type\Recurrenttumor\"
"\\OSIRIS\i2b2\OSIRIS\tumorPathologyEvent\Type\Primarytumor\","\\OSIRIS\i2b2\OSIRIS\tumorPathologyEvent\Type\Primarytumor\"
"\\OSIRIS\i2b2\OSIRIS\tumorPathologyEvent\Type\Unknown\","\\OSIRIS\i2b2\OSIRIS\tumorPathologyEvent\Type\Unknown\"
"\\OSIRIS\i2b2\OSIRIS\tumorPathologyEvent\StartDate\","\\OSIRIS\i2b2\OSIRIS\tumorPathologyEvent\StartDate\"
"\\OSIRIS\i2b2\OSIRIS\tumorPathologyEvent\EndDate\","\\OSIRIS\i2b2\OSIRIS\tumorPathologyEvent\EndDate\"
"\\OSIRIS\i2b2\OSIRIS\tumorPathologyEvent\PerformanceStatus\","\\OSIRIS\i2b2\OSIRIS\tumorPathologyEvent\PerformanceStatus\"
"\\OSIRIS\i2b2\OSIRIS\tumorPathologyEvent\PerformanceStatus\activitenormalesansrestriction\","\\OSIRIS\i2b2\OSIRIS\tumorPathologyEvent\PerformanceStatus\activitenormalesansrestriction\"
"\\OSIRIS\i2b2\OSIRIS\tumorPathologyEvent\PerformanceStatus\restreintpourdesactivitesphysiquesimportantesmaispatientambulantetcapabledefourniruntravailleger\","\\OSIRIS\i2b2\OSIRIS\tumorPathologyEvent\PerformanceStatus\restreintpourdesactivitesphysiquesimportantesmaispatientambulantetcapabledefourniruntravailleger\"
"\\OSIRIS\i2b2\OSIRIS\tumorPathologyEvent\PerformanceStatus\ambulantetcapabledeseprendreenchargemaisincapabledefourniruntravailetalitependantmoinsde50%desontemps\","\\OSIRIS\i2b2\OSIRIS\tumorPathologyEvent\PerformanceStatus\ambulantetcapabledeseprendreenchargemaisincapabledefourniruntravailetalitependantmoinsde50%desontemps\"
