ValueMeaning	LabelValueMeaning	DataElementConcept	dataelementconcept_lower
HL7:M	Male	Patient_Gender	patient_gender
HL7:F	Female	Patient_Gender	patient_gender
HL7:UN	Undifferentiated	Patient_Gender	patient_gender
UMLS:C0439673	Unknown	Patient_Gender	patient_gender
HL7:1002-5	American Indian or Alaska Native	Patient_Ethnicity	patient_ethnicity
HL7:1004-1	American Indian	Patient_Ethnicity	patient_ethnicity
HL7:2028-9	Asian	Patient_Ethnicity	patient_ethnicity
HL7:2029-7	Asian Indian	Patient_Ethnicity	patient_ethnicity
HL7:2030-5	Bangladeshi	Patient_Ethnicity	patient_ethnicity
HL7:2031-3	Bhutanese	Patient_Ethnicity	patient_ethnicity
HL7:2032-1	Burmese	Patient_Ethnicity	patient_ethnicity
HL7:2033-9	Cambodian	Patient_Ethnicity	patient_ethnicity
HL7:2034-7	Chinese	Patient_Ethnicity	patient_ethnicity
HL7:2035-4	Taiwanese	Patient_Ethnicity	patient_ethnicity
HL7:2036-2	Filipino	Patient_Ethnicity	patient_ethnicity
HL7:2037-0	Hmong	Patient_Ethnicity	patient_ethnicity
HL7:2038-8	Indonesian	Patient_Ethnicity	patient_ethnicity
HL7:2039-6	Japanese	Patient_Ethnicity	patient_ethnicity
HL7:2040-4	Korean	Patient_Ethnicity	patient_ethnicity
HL7:2041-2	Laotian	Patient_Ethnicity	patient_ethnicity
HL7:2042-0	Malaysian	Patient_Ethnicity	patient_ethnicity
HL7:2043-8	Okinawan	Patient_Ethnicity	patient_ethnicity
HL7:2044-6	Pakistani	Patient_Ethnicity	patient_ethnicity
HL7:2045-3	Sri Lankan	Patient_Ethnicity	patient_ethnicity
HL7:2046-1	Thai	Patient_Ethnicity	patient_ethnicity
HL7:2047-9	Vietnamese	Patient_Ethnicity	patient_ethnicity
HL7:2048-7	Iwo Jiman	Patient_Ethnicity	patient_ethnicity
HL7:2049-5	Maldivian	Patient_Ethnicity	patient_ethnicity
HL7:2050-3	Nepalese	Patient_Ethnicity	patient_ethnicity
HL7:2051-1	Singaporean	Patient_Ethnicity	patient_ethnicity
HL7:2052-9	Madagascar	Patient_Ethnicity	patient_ethnicity
HL7:2054-5	Black or African American	Patient_Ethnicity	patient_ethnicity
HL7:2056-0	Black	Patient_Ethnicity	patient_ethnicity
HL7:2058-6	African American	Patient_Ethnicity	patient_ethnicity
HL7:2060-2	African	Patient_Ethnicity	patient_ethnicity
HL7:2067-7	Bahamian	Patient_Ethnicity	patient_ethnicity
HL7:2068-5	Barbadian	Patient_Ethnicity	patient_ethnicity
HL7:2069-3	Dominican	Patient_Ethnicity	patient_ethnicity
HL7:2070-1	Dominica Islander	Patient_Ethnicity	patient_ethnicity
HL7:2071-9	Haitian	Patient_Ethnicity	patient_ethnicity
HL7:2072-7	Jamaican	Patient_Ethnicity	patient_ethnicity
HL7:2073-5	Tobagoan	Patient_Ethnicity	patient_ethnicity
HL7:2074-3	Trinidadian	Patient_Ethnicity	patient_ethnicity
HL7:2075-0	West Indian	Patient_Ethnicity	patient_ethnicity
HL7:2076-8	Native Hawaiian or Other Pacific Islander	Patient_Ethnicity	patient_ethnicity
HL7:2078-4	Polynesian	Patient_Ethnicity	patient_ethnicity
HL7:2085-9	Micronesian	Patient_Ethnicity	patient_ethnicity
HL7:2100-6	Melanesian	Patient_Ethnicity	patient_ethnicity
HL7:2500-7	Other Pacific Islander	Patient_Ethnicity	patient_ethnicity
HL7:2106-3	White	Patient_Ethnicity	patient_ethnicity
HL7:2108-9	European	Patient_Ethnicity	patient_ethnicity
HL7:2118-8	Middle Eastern or North African	Patient_Ethnicity	patient_ethnicity
HL7:2129-5	Arab	Patient_Ethnicity	patient_ethnicity
UMLS:C0439673	Unknown	Patient_Ethnicity	patient_ethnicity
UMLS:C1707251	Other cancer	Patient_CauseOfDeath	patient_causeofdeath
UMLS:C3262234	Other cause	Patient_CauseOfDeath	patient_causeofdeath
UMLS:C0679861	Complications of treatment	Patient_CauseOfDeath	patient_causeofdeath
UMLS:C0027651	Neoplasm	Patient_CauseOfDeath	patient_causeofdeath
UMLS:C0277589	Death of unknown cause	Patient_CauseOfDeath	patient_causeofdeath
UMLS:C2584946	Alive (finding)	Patient_LastNewsStatus	patient_lastnewsstatus
UMLS:C1546956	Patient Outcome - Died	Patient_LastNewsStatus	patient_lastnewsstatus
UMLS:C0439673	Unknown	Patient_LastNewsStatus	patient_lastnewsstatus
UMLS:C0037047	Sibling	FamilyCancerHistory_Parentage	familycancerhistory_parentage
UMLS:C0030551	Parent	FamilyCancerHistory_Parentage	familycancerhistory_parentage
UMLS:C0015671	Father	FamilyCancerHistory_Parentage	familycancerhistory_parentage
UMLS:C0026591	Mother	FamilyCancerHistory_Parentage	familycancerhistory_parentage
UMLS:C3844804	Paternal cousin	FamilyCancerHistory_Parentage	familycancerhistory_parentage
UMLS:C3844805	Maternal cousin	FamilyCancerHistory_Parentage	familycancerhistory_parentage
UMLS:C3242761	Maternal grandparent	FamilyCancerHistory_Parentage	familycancerhistory_parentage
UMLS:C3242764	Paternal grandparent	FamilyCancerHistory_Parentage	familycancerhistory_parentage
UMLS:C1273524	Paternal grandmother	FamilyCancerHistory_Parentage	familycancerhistory_parentage
UMLS:C1273525	Maternal grandmother	FamilyCancerHistory_Parentage	familycancerhistory_parentage
UMLS:C1273523	Maternal grandfather	FamilyCancerHistory_Parentage	familycancerhistory_parentage
UMLS:C1273522	Paternal grandfather	FamilyCancerHistory_Parentage	familycancerhistory_parentage
UMLS:C0337471	Grandparent	FamilyCancerHistory_Parentage	familycancerhistory_parentage
UMLS:C0337577	Uncle	FamilyCancerHistory_Parentage	familycancerhistory_parentage
